"n","p","test","R_time","time_median","time_p10","time_p90","mem_median","mcse_time"
200,32,"HL",30,0.00325465000014446,0.00193855000018174,0.00507263000015428,97104,0.00022401534427999
500,32,"HL",30,0.00384170000018003,0.0023330200000828,0.00629290000013043,226432,0.000337784390614575
1000,32,"HL",30,0.00544305000005352,0.00285725000021557,0.00761351000010109,440528,0.000351010864041746
2000,32,"HL",30,0.00722330000007787,0.00398687999993399,0.0103370900000982,868720,0.000474833803345291
5000,32,"HL",30,0.0114889000001312,0.00766697000012755,0.0153714600002331,2177872,0.005058532609255
10000,32,"HL",30,0.019999100000291,0.0133855100002393,0.0241905000002362,4343408,0.000734088685315638
20000,32,"HL",30,0.0377260500001739,0.0254243200000474,0.045906930000092,8674480,0.00128790490659986
50000,32,"HL",10,0.0688859500000945,0.0637720700002774,0.0721650100001852,21536624,0.00114931155248438
200,4,"le-Cessie",5,0.0232445999999982,0.0204889600001479,0.0241015600000537,5501632,0.000825316142797312
500,4,"le-Cessie",5,0.216310300000259,0.182122360000131,0.227758400000176,33843832,0.0120884644783437
1000,4,"le-Cessie",5,1.93990070000018,1.53301927999991,2.19068582000014,134681080,0.168577090039578
2000,4,"le-Cessie",5,25.7800461000002,18.7833886999999,25.8726116200002,537355080,2.30548023323608
200,8,"le-Cessie",5,0.026956600000176,0.0203505800001949,0.0277331800000865,6886208,0.00190841537787418
500,8,"le-Cessie",5,0.220034899999973,0.185854320000135,0.280447040000081,42097208,0.0209513492749742
1000,8,"le-Cessie",5,1.97781240000018,1.55892256000011,2.07984254000021,167182456,0.143669749295954
2000,8,"le-Cessie",5,26.2324615000002,19.1189904400001,26.4249914000001,666352456,2.38695144047299
200,16,"le-Cessie",5,0.0322618000002421,0.0243844000001445,0.0403832200001943,9658320,0.00394526359048343
500,16,"le-Cessie",5,0.276891500000147,0.22578296000006,0.285151540000061,58607168,0.0138712400291646
1000,16,"le-Cessie",5,1.9886168999999,1.5882410600002,2.19123154000012,232188168,0.148571926423375
2000,16,"le-Cessie",5,26.2978058000001,19.1778329799999,26.38971362,924350168,2.36671633713543
200,32,"le-Cessie",5,0.0370500000001357,0.0307364000001144,0.0387419400001363,15228152,0.00186800632532975
500,32,"le-Cessie",5,0.312151800000265,0.242010580000123,0.345037840000168,91652200,0.0235057140165794
1000,32,"le-Cessie",5,2.2306394000002,1.71163848000028,2.51827538000011,362225200,0.197625616119221
2000,32,"le-Cessie",5,27.0325204000001,19.7316954200002,27.2315431600002,1440371200,2.44103170199181
200,4,"Osius-Rojek",30,0.00172685000018192,0.00144250000003012,0.00207623000014791,58168,5.10905432296509e-05
500,4,"Osius-Rojek",30,0.00195760000008249,0.00111986000015349,0.00300208000016937,142168,0.000278776571538221
1000,4,"Osius-Rojek",30,0.00274505000015779,0.00122087000008833,0.00357281000001421,282168,0.000257589163908385
2000,4,"Osius-Rojek",30,0.00325785000006818,0.00129652000025544,0.00607026000013775,562168,0.000600522559721668
5000,4,"Osius-Rojek",30,0.00262390000011692,0.00175219000004745,0.00351042000004327,1402168,0.000164485524018491
10000,4,"Osius-Rojek",30,0.00455800000008822,0.00279774000011912,0.0115425300002926,2802168,0.000659695413409986
20000,4,"Osius-Rojek",30,0.00612410000019281,0.00350199000013163,0.00934497000012016,5602168,0.000509728604955999
50000,4,"Osius-Rojek",10,0.0108711000001449,0.00793051000009655,0.0148408699998072,14002168,0.000923529200767657
200,8,"Osius-Rojek",30,0.00198945000011008,0.00157602000019779,0.00295527000025686,77792,0.000193322404334376
