"family","n","G","test","alpha","null_size","mcse","size_ok"
"quad",1000,10,"HL-equalwidth",0.01,0.0108,0.00103360340556714,TRUE
"quad",1000,10,"HL-equalwidth",0.05,0.05,0.00217944947177034,TRUE
"quad",1000,10,"HL-equalwidth",0.1,0.1005,0.00300665511823355,TRUE
"quad",1000,10,"Pigeon-Heyse",0.01,0.0068,0.000821812630713352,FALSE
"quad",1000,10,"Pigeon-Heyse",0.05,0.0332,0.00179158477332221,FALSE
"quad",1000,10,"Pigeon-Heyse",0.1,0.0695,0.00254302477376844,FALSE
"quad",1000,10,"Stukel",0.01,0.0221,0.00147008809259854,FALSE
"quad",1000,10,"Stukel",0.05,0.0732,0.00260464508138825,FALSE
"quad",1000,10,"Stukel",0.1,0.1168,0.0032118181766719,FALSE
"quad",1000,10,"Tsiatis",0.01,0.0087,0.000928671631956097,TRUE
"quad",1000,10,"Tsiatis",0.05,0.0492,0.00216285367050108,TRUE
"quad",1000,10,"Tsiatis",0.1,0.1,0.003,TRUE
"quad",1000,10,"Xie",0.01,0.0073,0.000851276100921434,TRUE
"quad",1000,10,"Xie",0.05,0.0425,0.00201726919373692,FALSE
"quad",1000,10,"Xie",0.1,0.0843,0.00277837200532974,FALSE
"binint",1000,10,"DEF.poly2",0.01,0.0102,0.00100478654449589,TRUE
"binint",1000,10,"DEF.poly2",0.05,0.0503,0.0021856328602947,TRUE
"binint",1000,10,"DEF.poly2",0.1,0.0981,0.00297449810892527,TRUE
"binint",1000,10,"DEF.poly3",0.01,0.0097,0.000980097444135021,TRUE
"binint",1000,10,"DEF.poly3",0.05,0.0487,0.00215240121724552,TRUE
"binint",1000,10,"DEF.poly3",0.1,0.0979,0.00297179390267899,TRUE
"binint",1000,10,"DEF.stukel",0.01,0.0111,0.00104770177054351,TRUE
"binint",1000,10,"DEF.stukel",0.05,0.0484,0.00214609971809327,TRUE
"binint",1000,10,"DEF.stukel",0.1,0.0972,0.00296229910711258,TRUE
