"n","p","test","rep","seed","time_sec","mem_bytes","glm_iter","refit_iter","refit_converged","n_events","event_rate"
200,4,"Xie",3,20360709,0.00648139999998421,417048,4,NA,NA,104,0.52
200,4,"Xie",4,20360710,0.00848530000030223,417248,4,NA,NA,103,0.515
200,4,"Xie",5,20360711,0.00761650000004011,417080,4,NA,NA,90,0.45
200,4,"Xie",6,20360712,0.0062267000000702,417008,4,NA,NA,88,0.44
200,4,"Xie",7,20360713,0.0090802000001986,417144,4,NA,NA,104,0.52
200,4,"Xie",8,20360714,0.00876560000006066,417480,4,NA,NA,90,0.45
200,4,"Xie",9,20360715,0.00933560000021316,417464,4,NA,NA,96,0.48
200,4,"Xie",10,20360716,0.00729810000007092,417192,4,NA,NA,101,0.505
200,4,"Xie",11,20360717,0.00742400000035559,417352,4,NA,NA,113,0.565
200,4,"Xie",12,20360718,0.00916170000027705,417064,4,NA,NA,112,0.56
200,4,"Xie",13,20360719,0.00701010000011593,416712,4,NA,NA,110,0.55
200,4,"Xie",14,20360720,0.00820840000005774,417080,4,NA,NA,102,0.51
200,4,"Xie",15,20360721,0.00765130000013414,416776,4,NA,NA,96,0.48
200,4,"Xie",16,20360722,0.00711520000027122,417480,4,NA,NA,94,0.47
200,4,"Xie",17,20360723,0.00817950000032397,417144,4,NA,NA,108,0.54
200,4,"Xie",18,20360724,0.00699140000006082,417192,4,NA,NA,91,0.455
200,4,"Xie",19,20360725,0.0102943000001687,416904,4,NA,NA,109,0.545
200,4,"Xie",20,20360726,0.00904650000006768,417608,4,NA,NA,96,0.48
200,4,"Xie",21,20360727,0.00690159999999196,417280,4,NA,NA,107,0.535
200,4,"Xie",22,20360728,0.0102928999999676,417096,4,NA,NA,111,0.555
200,4,"Xie",23,20360729,0.00868860000014138,416656,4,NA,NA,102,0.51
200,4,"Xie",24,20360730,0.0125875000001088,417480,4,NA,NA,102,0.51
200,4,"Xie",25,20360731,0.00796340000010787,417448,4,NA,NA,113,0.565
200,4,"Xie",26,20360732,0.00709290000031615,417664,4,NA,NA,86,0.43
200,4,"Xie",27,20360733,0.00827390000017658,416744,3,NA,NA,107,0.535
200,4,"Xie",28,20360734,0.00880940000024566,417144,4,NA,NA,95,0.475
200,4,"Xie",29,20360735,0.00732360000006338,417432,4,NA,NA,94,0.47
200,4,"Xie",30,20360736,0.00654700000018238,417208,3,NA,NA,108,0.54
200,4,"Pulkstenis-Robinson",1,20360707,0.00327570000013111,85160,4,NA,NA,91,0.455
200,4,"Pulkstenis-Robinson",2,20360708,0.00208490000022721,85096,4,NA,NA,96,0.48
200,4,"Pulkstenis-Robinson",3,20360709,0.00222880000023906,85160,4,NA,NA,104,0.52
200,4,"Pulkstenis-Robinson",4,20360710,0.00412540000024819,85160,4,NA,NA,103,0.515
200,4,"Pulkstenis-Robinson",5,20360711,0.00185840000017379,85160,4,NA,NA,90,0.45
200,4,"Pulkstenis-Robinson",6,20360712,0.00173530000029132,85160,4,NA,NA,88,0.44
200,4,"Pulkstenis-Robinson",7,20360713,0.00219620000007126,85160,4,NA,NA,104,0.52
200,4,"Pulkstenis-Robinson",8,20360714,0.00246810000021469,85160,4,NA,NA,90,0.45
200,4,"Pulkstenis-Robinson",9,20360715,0.00236760000007052,85160,4,NA,NA,96,0.48
200,4,"Pulkstenis-Robinson",10,20360716,0.00223230000005969,85096,4,NA,NA,101,0.505
200,4,"Pulkstenis-Robinson",11,20360717,0.00346950000016477,85160,4,NA,NA,113,0.565
200,4,"Pulkstenis-Robinson",12,20360718,0.00468020000016622,85096,4,NA,NA,112,0.56
200,4,"Pulkstenis-Robinson",13,20360719,0.00244360000010602,85160,4,NA,NA,110,0.55
200,4,"Pulkstenis-Robinson",14,20360720,0.00315660000023854,85160,4,NA,NA,102,0.51
200,4,"Pulkstenis-Robinson",15,20360721,0.00390640000023268,85096,4,NA,NA,96,0.48
