"scenario","shape","n","G","alpha","test","reject_rate","mcse","B","A_delta","mcse_diff_vs_HL","mcse_diff_vs_EF"
"sawtooth","sawtooth",2000,10,0.01,"Pigeon-Heyse",0.9954,0.000956957679315031,5000,0.0460999773624466,0.000565685424949238,0.000565685424949238
"sawtooth","sawtooth",2000,10,0.05,"Pigeon-Heyse",0.9988,0.000489603921552918,5000,0.0460999773624466,0.000346410161513775,0.000346410161513775
"sawtooth","sawtooth",2000,10,0.1,"Pigeon-Heyse",0.9996,0.000282786138274123,5000,0.0460999773624466,2e-04,2e-04
"sawtooth","sawtooth",2000,10,0.01,"Stukel",0.0316,0.00247392158323581,5000,0.0460999773624466,0.0138953229541454,0.0138953229541454
"sawtooth","sawtooth",2000,10,0.05,"Stukel",0.0902,0.00405127041802939,5000,0.0460999773624466,0.0134848062648301,0.0134848062648301
"sawtooth","sawtooth",2000,10,0.1,"Stukel",0.1492,0.00503863791118195,5000,0.0460999773624466,0.0130430057885443,0.0130430057885443
"sawtooth","sawtooth",2000,10,0.01,"Tsiatis",0.993,0.00117906742809731,5000,0.0460999773624466,0.00135646599662505,0.00135646599662505
"sawtooth","sawtooth",2000,10,0.05,"Tsiatis",0.9988,0.000489603921552918,5000,0.0460999773624466,6e-04,6e-04
"sawtooth","sawtooth",2000,10,0.1,"Tsiatis",0.999,0.00044698993277254,5000,0.0460999773624466,0.000489897948556636,0.000489897948556636
"sawtooth","sawtooth",2000,10,0.01,"Xie",0.997,0.000773433901506781,5000,0.0460999773624466,0.00105830052442584,0.00105830052442584
"sawtooth","sawtooth",2000,10,0.05,"Xie",0.9998,0.000199979998999889,5000,0.0460999773624466,4e-04,4e-04
"sawtooth","sawtooth",2000,10,0.1,"Xie",1,0,5000,0.0460999773624466,2e-04,2e-04
